"","wave","Q288","Q252"
"1311",3,9,2
"1312",3,6,2
"1313",3,4,1
"1314",3,8,2
"1315",3,7,2
"1316",3,6,3
"1317",3,9,2
"1318",3,8,2
"1319",3,10,4
"1320",3,6,3
"1321",3,NA,4
"1322",3,10,3
"1323",3,4,1
"1324",3,7,2
"1325",3,8,2
"1326",3,8,4
"1327",3,8,3
"1328",3,8,3
"1329",3,7,3
"1330",3,4,3
"1331",3,3,2
"1332",3,2,1
"1333",3,5,2
"1334",3,8,1
"1335",3,3,2
"1336",3,8,2
"1337",3,3,3
"1338",3,5,3
"1339",3,5,3
"1340",3,8,3
"1341",3,5,3
"1342",3,NA,3
"1343",3,7,3
"1344",3,7,1
"1345",3,1,3
"1346",3,7,2
"1347",3,5,3
"1348",3,8,3
"1349",3,2,4
"1350",3,3,NA
"1351",3,8,1
"1352",3,1,4
"1353",3,5,2
"1354",3,5,4
"1355",3,NA,3
"1356",3,NA,3
"1357",3,10,3
"1358",3,4,3
"1359",3,2,3
"1360",3,7,3
"1361",3,6,2
"1362",3,6,3
"1363",3,9,3
"1364",3,4,3
"1365",3,4,3
"1366",3,5,3
"1367",3,10,2
"1368",3,NA,3
"1369",3,9,3
"1370",3,10,3
"1371",3,8,3
"1372",3,NA,3
"1373",3,NA,2
"1374",3,7,4
"1375",3,9,2
"1376",3,6,3
"1377",3,6,3
"1378",3,3,3
"1379",3,4,1
"1380",3,7,3
"1381",3,NA,3
"1382",3,5,3
"1383",3,6,4
"1384",3,8,2
"1385",3,7,3
"1386",3,8,3
"1387",3,6,4
"1388",3,9,4
"1389",3,2,2
"1390",3,5,4
"1391",3,3,1
"1392",3,6,2
"1393",3,7,1
"1394",3,NA,2
"1395",3,2,3
"1396",3,5,3
"1397",3,4,3
"1398",3,4,3
"1399",3,10,3
"1400",3,10,3
"1401",3,9,3
"1402",3,NA,3
"1403",3,3,3
"1404",3,8,4
"1405",3,7,3
"1406",3,4,3
"1407",3,5,3
"1408",3,5,3
"1409",3,NA,2
"1410",3,3,2
"1411",3,5,3
"1412",3,8,2
"1413",3,8,3
"1414",3,10,4
"1415",3,6,3
"1416",3,2,3
"1417",3,5,3
"1418",3,7,3
"1419",3,3,3
"1420",3,7,3
"1421",3,NA,3
"1422",3,5,3
"1423",3,7,4
"1424",3,3,3
"1425",3,6,3
"1426",3,9,3
"1427",3,5,3
"1428",3,2,3
"1429",3,3,2
"1430",3,10,4
"1431",3,3,4
"1432",3,NA,3
"1433",3,NA,3
"1434",3,9,3
"1435",3,8,3
"1436",3,5,1
"1437",3,7,2
"1438",3,NA,3
"1439",3,5,3
"1440",3,NA,3
"1441",3,NA,3
"1442",3,5,3
"1443",3,9,3
"1444",3,10,3
"1445",3,2,3
"1446",3,6,3
"1447",3,6,3
"1448",3,5,3
"1449",3,8,3
"1450",3,NA,3
"1451",3,10,2
"1452",3,6,3
"1453",3,5,2
"1454",3,2,2
"1455",3,NA,3
"1456",3,10,4
"1457",3,9,1
"1458",3,6,3
"1459",3,3,3
"1460",3,10,3
"1461",3,9,2
"1462",3,NA,3
"1463",3,1,NA
"1464",3,5,3
"1465",3,2,3
"1466",3,9,3
"1467",3,10,4
"1468",3,10,3
"1469",3,3,1
"1470",3,3,2
"1471",3,9,1
"1472",3,9,3
"1473",3,9,3
